animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,Cluster
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,0
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,5
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,0
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,0
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,5
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,4
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,0
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,3
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,3
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,3
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,4
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,0
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,4
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,4
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,4
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,2
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,6
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,6
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,5
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,2
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,5
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,4
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,0
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,5
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,4
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,0
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,2
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,2
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,4
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,2
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,4
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,3
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,2
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,6
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,3
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,4
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,4
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,4
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,4
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,0
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,0
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,6
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,5
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,5
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,5
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,4
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,6
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,0
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,0
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,3
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,4
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,4
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,6
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,0
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,4
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,3
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,0
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,4
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,2
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,6
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,6
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,6
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,0
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,4
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,2
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,4
